,video_id,title,comment_count,digg_count,share_count
6799824900317089031,#原罪少女 女大学生接受调查，男孩不舍……,104,7468,58
6799216629193493767,#原罪少女 #支持抖音绿色平台 女大学生路上发现自己以前爱上的男人，尽然是……,239,13502,66
6807962028578180355,,33,1471,6
6807191293450554627,你会祝福小燕子吗？#赵薇 评论区见 关注我每日更新,493,4068,54
6807029913338563843,难道只有小燕子不知道吗😄#赵薇 关注我每日更新,76,6177,1162
6807014015898750211,难道只有小燕子不知道吗😄#赵薇 关注我每日更新,88,6625,1517
6806960105532214532,难道只有小燕子不知道吗😄#赵薇 关注我每日更新,4,558,11
6806887614377921795,难道只有小燕子不知道吗😄#赵薇关注我每日更新,16,1206,99
6806833544912964878,,40,823,89
6806697633554369803,,38,3712,311
6806539033183800579,难道只有小燕子不知道吗😊#赵薇 关注我每日更新,103,7044,1147
6806474697182579980,难道只有小燕子不知道吗😁#赵薇,231,17907,2071
6806187725570526476,#赵薇与#范冰冰谁最美？评论区见 关注我每日更新,40,596,9
6806109747524291843,其实韩红的意思是只有赵薇肯捐款！人美心更美#赵薇#韩红 关注我每日更新,19,708,9
6805883527947717899,其实韩红的意思是只有赵薇肯捐款！人美心更美#赵薇 关注我每日更新,25,1355,8
6780663158378958088,软的不行那就来硬的😂为了吃的妹妹也是拼了😂,57461,2458165,127074
6772870192826502408,这年头  没点套路怎么带领俩娃😂,71761,2621557,128003
6809236693799947534,跟着哥哥没点智商都不行😂,1312,37121,208
6808865683485560071,爸爸在沙发上睡着了，没想到兄妹俩会这样做……,6550,283183,1116
6808494556678622478,跟着哥哥没点智商都不行😂,9573,388324,3495
6808123452189461773,哥哥本想逗一下妹妹，没想到妹妹会这样做……😂,14059,797695,3738
6807752365953846536,哥哥没有想到  原来结果是这样的……😂,20950,1105509,9484
6807381287620381965,让妹妹叫哥哥起床，没想到妹妹会这样做……😂,6465,388557,1822
6807010200034282759,糖被哥哥吃完后，没想到妹妹会这样做……(跟着哥哥没点智商都不行😂),17103,609952,7171
6806600972853349646,这妹妹是真凭实力坑哥啊#吸位出道无可替戴#戴森,1458,106994,513
6806268034311916813,哥哥你妹妹我也是有脾气的……不要挑战我的忍耐😂,62160,2151204,47980
6805896921878727950,妹妹心想：哥哥我也是有脾气的……不要挑战我的忍耐😂,5812,317452,1608
6805525905797025032,哥哥在擦地(哥哥主动要求去擦地😘)没想到一旁的妹妹会这样做……,12898,528123,3403
6805154844161101069,哥哥现在想糊弄妹妹可不是那么容易的啦😂妹妹已经被哥哥套路出经验啦😂,4833,296976,1305
6804783745539820808,妹妹吃不到香蕉  没想到会这样做……😂,5546,372649,2471
6804412633287036173,跟着哥哥没点智商都不行😂为了吃的妹妹也是拼了😂,4798,227020,1769
6804041602428947719,到底是谁套路了谁😂,4436,277381,1581
6803670452301581582,哥哥以为自己是王者，谁知爸爸回来后……😂,10587,556724,4421
6803299365478747399,到点必须交手机，我有什么错，你看看一个个鼻子不是鼻子，脸不是脸的😂,15179,543755,5031
6802928288479104270,跟着哥哥没点智商都不行😂,27840,1176064,17976
6802557259709746440,刚洗好的草莓，妹妹就送去跟哥哥一起分享，看到哥哥睡着了，妹妹接下来的举动让我瞬间感动到啦😘,38726,1455057,16836
6802186153442151693,妹妹差点被哥哥套路了😂,3111,214718,954
6806070746339740932,谁发明的猪，我要感谢你八辈子，一大早醒来就要玩，不哭不闹，真正解放双手啊😂#宝妈带娃 #网红猪 #你别笑,63153,1299574,91920
6759526365235514637,爸爸终于下班了，能不能别逗我😅#意外#快乐父子 @抖音小助手,12297,622803,3469
6765443337865530632,你爸一回来，我就成后妈了，你是要告状吗#戏精 #快乐父子 @抖音小助手,4041,300630,495
6808783335381323016,又开始唠嗑了，每天唯一的乐趣就是和小猪说话，太省心了哈哈#宝妈带娃 #网红猪 #解放双手 #抖音小助手,103,1412,67
6807616622803619083,他来了他来了，他迈着短腿走来啦哈哈哈哈棒棒哒儿子，走的越来越稳了#小可爱 #家有萌娃 #十一个半月,120,2159,25
6807276863157800203,自从有了小猪，你遇到了知音，妈妈解放了双手，相当开心了哈哈哈哈😂#猪猪男孩 #宝妈带娃解放双手 #棒棒哒,616,17418,702
6807003568860663044,有没有同款，困了就要吃布才睡，安抚奶嘴不吃🤣唉呀妈呀脑瓜疼#熊孩子 #臭宝臭宝 #抖音小助手 #脑瓜疼,8851,82173,1311
6805892940863376643,我知道你们最近挣钱少，我都不喝奶改喝水了，你们咋连水都不放过，我太难了#太难了 #脑瓜疼脑瓜疼 @抖音小助手,156,4166,22
6805781721498340612,就爱玩儿猪猪，从早上一直玩儿到现在，各种对话，不哭也不闹，解放双手啊哈哈😂#宝妈带娃 #解放双手#你别笑,1228,24309,2448
